Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-24 09:00:00+09:00,383.0,384.0,383.0,384.0,384.0,0
2024-06-24 09:01:00+09:00,384.0,385.0,384.0,385.0,385.0,6400
2024-06-24 09:02:00+09:00,384.0,384.0,383.0,383.0,383.0,18400
2024-06-24 09:04:00+09:00,382.0,382.0,382.0,382.0,382.0,49300
2024-06-24 09:05:00+09:00,381.0,381.0,381.0,381.0,381.0,600
2024-06-24 09:06:00+09:00,381.0,381.0,381.0,381.0,381.0,30400
2024-06-24 09:07:00+09:00,381.0,381.0,379.0,379.0,379.0,44400
2024-06-24 09:08:00+09:00,379.0,379.0,379.0,379.0,379.0,100
2024-06-24 09:10:00+09:00,380.0,380.0,380.0,380.0,380.0,29700
2024-06-24 09:11:00+09:00,380.0,380.0,380.0,380.0,380.0,1000
2024-06-24 09:12:00+09:00,381.0,381.0,381.0,381.0,381.0,500
2024-06-24 09:13:00+09:00,380.0,380.0,380.0,380.0,380.0,27400
2024-06-24 09:14:00+09:00,379.0,379.0,379.0,379.0,379.0,100
2024-06-24 09:16:00+09:00,379.0,379.0,379.0,379.0,379.0,4800
2024-06-24 09:19:00+09:00,379.0,380.0,379.0,380.0,380.0,5800
2024-06-24 09:20:00+09:00,380.0,380.0,379.0,380.0,380.0,29300
2024-06-24 09:22:00+09:00,380.0,380.0,380.0,380.0,380.0,2700
2024-06-24 09:23:00+09:00,380.0,380.0,380.0,380.0,380.0,17800
2024-06-24 09:24:00+09:00,380.0,380.0,380.0,380.0,380.0,23700
2024-06-24 09:26:00+09:00,380.0,380.0,380.0,380.0,380.0,22200
2024-06-24 09:27:00+09:00,381.0,381.0,380.0,380.0,380.0,200
2024-06-24 09:31:00+09:00,381.0,381.0,381.0,381.0,381.0,20700
2024-06-24 09:36:00+09:00,382.0,382.0,382.0,382.0,382.0,1400
2024-06-24 09:37:00+09:00,382.0,382.0,382.0,382.0,382.0,12000
2024-06-24 09:38:00+09:00,383.0,383.0,382.0,382.0,382.0,400
2024-06-24 09:39:00+09:00,382.0,382.0,382.0,382.0,382.0,16100
2024-06-24 09:48:00+09:00,381.0,381.0,381.0,381.0,381.0,900
